entrant_level,campus,fall_term,count_category,ethnicity,n
freshman,Davis,2018,admits,Unknown,966
freshman,Davis,2019,admits,Unknown,842
freshman,Davis,2020,admits,Unknown,1121
freshman,Davis,2021,admits,Unknown,1173
freshman,Davis,2022,admits,Unknown,1086
freshman,Davis,2023,admits,Unknown,1117
freshman,Davis,2024,admits,Unknown,1524
freshman,Davis,2025,admits,Unknown,1710
freshman,Davis,2017,admits,International,8295
freshman,Davis,2018,admits,International,8646
freshman,Davis,2019,admits,International,6888
freshman,Davis,2020,admits,International,9337
freshman,Davis,2021,admits,International,11112
freshman,Davis,2022,admits,International,7849
freshman,Davis,2023,admits,International,8839
